Scale,Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
scale_10,MAP_KDE_Entropy,complexity,Mann-Whitney U,0.40919916388773636,0.07210712335577564,ns,114,3.37655857987577,0.36109644110112893,3.22740861098126,17,3.456604961667072,0.45081989847132753,3.38408599040058,False,"Good normal: False, Bad normal: False",-0.08004638179130241,-0.15667737941932014
scale_10,MAP_N_Peaks,complexity,Mann-Whitney U,0.8881913949906022,0.012283676679045815,ns,114,1.0964912280701755,0.4406210067663459,1.0,17,1.1764705882352942,0.7276068751089988,1.0,False,"Good normal: False, Bad normal: False",-0.07997936016511864,0.0
scale_10,rSO2_contra_KDE_Entropy,complexity,Mann-Whitney U,0.13631467134962102,0.1301518616587652,ns,114,3.035057364216637,0.00997376864892364,3.03219221814366,17,3.0379125773978464,0.010675539930583537,3.03476417889182,False,"Good normal: False, Bad normal: False",-0.002855213181209404,-0.0025719607481602402
scale_10,rSO2_contra_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,SE_KDE_Entropy,complexity,Mann-Whitney U,0.9918030846130503,0.0008975990459225161,ns,114,3.149479922779479,0.1642118895680111,3.100599434714895,17,3.2403729791667697,0.42656002636321094,3.11329511344101,False,"Good normal: False, Bad normal: False",-0.09089305638729073,-0.012695678726114767
scale_20,SE_N_Peaks,complexity,Mann-Whitney U,0.11781158664898209,0.1366495399519222,ns,114,1.0175438596491229,0.18731716231633885,1.0,17,1.1764705882352942,0.7276068751089988,1.0,False,"Good normal: False, Bad normal: False",-0.1589267285861713,0.0
scale_20,rSO2_KDE_Entropy,complexity,Mann-Whitney U,0.03123950218644065,0.1881965999617547,*,114,3.033207330940814,0.01149747253837741,3.0298186514174947,17,3.0497672898631256,0.03954171667520316,3.03199418296735,False,"Good normal: False, Bad normal: False",-0.016559958922311768,-0.0021755315498550587
scale_20,rSO2_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
scale_20,MAP_KDE_Entropy,complexity,Mann-Whitney U,0.3156787139024574,0.08766550681843266,ns,114,3.2106932512490487,0.2888901364309361,3.107379931579355,17,3.3326861849269958,0.4702107201403625,3.15034219064973,False,"Good normal: False, Bad normal: False",-0.12199293367794706,-0.0429622590703751
scale_20,MAP_N_Peaks,complexity,Mann-Whitney U,0.6131952299128157,0.04416729148468292,ns,114,1.0614035087719298,0.3335273461157999,1.0,17,1.1764705882352942,0.7276068751089988,1.0,False,"Good normal: False, Bad normal: False",-0.11506707946336436,0.0
scale_20,rSO2_contra_KDE_Entropy,complexity,Mann-Whitney U,0.09005152898129345,0.14810384257721554,ns,114,3.031088513748594,0.007001486735467671,3.0290526102930597,17,3.032883182352746,0.004933231874948334,3.03105798392714,False,"Good normal: False, Bad normal: False",-0.0017946686041518944,-0.0020053736340801542
scale_20,rSO2_contra_N_Peaks,complexity,t-test,,0.0,ns,114,1.0,0.0,1.0,17,1.0,0.0,1.0,True,"Good normal: True, Bad normal: True",0.0,0.0
