Metric,Metric_Type,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Mean,Good_MOCA_Std,Good_MOCA_Median,Bad_MOCA_N,Bad_MOCA_Mean,Bad_MOCA_Std,Bad_MOCA_Median,Normality_Assumption,Additional_Info,Mean_Difference,Median_Difference
rSO2_Median,location,Mann-Whitney U,0.06609744683875311,0.0802830165561113,ns,456,-0.013571786531459707,0.08765022259498542,-0.0010868176924838501,68,-0.007225153837137043,0.1305151758653422,0.004028348563591451,False,"Good normal: False, Bad normal: False",-0.006346632694322664,-0.005115166256075301
rSO2_Q1,location,Mann-Whitney U,7.004880615684776e-07,0.21673226403620138,***,456,-0.3535923667315111,0.29621557665208,-0.3022549020395045,68,-0.7330891705398906,0.6519512835048786,-0.562422120330974,False,"Good normal: False, Bad normal: False",0.3794968038083795,0.26016721829146955
rSO2_Q3,location,Mann-Whitney U,1.2316729481199211e-06,0.21189390424375185,***,456,0.33580495135383254,0.279212999354958,0.28966607576584746,68,0.6143242293916505,0.47600017835152686,0.543990801981626,False,"Good normal: False, Bad normal: False",-0.278519278037818,-0.2543247262157785
rSO2_Min,location,Mann-Whitney U,0.00018693094685509373,0.16321025299879385,***,456,-1.7296419951329682,1.5175734767686537,-1.312260347961395,68,-2.990403416727077,2.760327948008549,-2.221573503264015,False,"Good normal: False, Bad normal: False",1.2607614215941088,0.9093131553026201
rSO2_Max,location,Mann-Whitney U,0.0005894702455532287,0.15012042689363952,***,456,1.8757716664154944,1.628288406544855,1.419475585172075,68,2.8361901868699544,2.2491135377938347,2.5383057030491303,False,"Good normal: False, Bad normal: False",-0.96041852045446,-1.1188301178770552
rSO2_Mode_Angle,location,Mann-Whitney U,0.017743283916579432,0.10357465555697327,*,456,-0.0037919207082430465,0.05183078930807671,0.002010188598577,68,-0.03525478484586666,0.11379895243588518,-0.0120438382167745,False,"Good normal: False, Bad normal: False",0.031462864137623614,0.0140540268153515
rSO2_Positive_Mean,location,Mann-Whitney U,2.653949379129971e-06,0.205142704533357,***,456,0.48407111090976346,0.39648818579710293,0.403632088406782,68,0.822968933088023,0.5655022157150323,0.7726815388069466,False,"Good normal: False, Bad normal: False",-0.33889782217825953,-0.36904945040016457
rSO2_Negative_Mean,location,Mann-Whitney U,3.326301383929367e-06,0.20311734462023862,***,456,-0.46148704060963347,0.3436214961423645,-0.397466680417839,68,-0.91262190129635,0.7905540467556781,-0.7375658417961419,False,"Good normal: False, Bad normal: False",0.45113486068671654,0.3400991613783029
MAP_Mean,location,Mann-Whitney U,0.29588198773829155,0.045664364707809144,ns,456,-0.00882254076187989,0.1871132539634296,-0.00245897663504465,68,-0.11067193621409982,0.7451200426130263,-0.0044811862648597,False,"Good normal: False, Bad normal: False",0.10184939545221994,0.00202220962981505
MAP_Median,location,Mann-Whitney U,0.35401851029454023,0.04048844492983983,ns,456,-0.1814966766965273,0.8041182736209442,-0.0083166123918354,68,-0.06160112666462947,1.1090528126445374,-0.03602536420845235,False,"Good normal: False, Bad normal: False",-0.11989555003189784,0.02770875181661695
MAP_Q1,location,Mann-Whitney U,0.257265111807772,0.04949004454369954,ns,456,-2.946576880391779,3.3604216934257507,-2.01265904995376,68,-5.037980429015639,9.963540448870575,-2.16235892068208,False,"Good normal: False, Bad normal: False",2.0914035486238602,0.14969987072832014
MAP_Q3,location,Mann-Whitney U,0.5182330377233921,0.028223765455955965,ns,456,2.8816516002747656,3.5764147018445653,1.94177645424396,68,3.7114919818841154,5.030509835851575,2.02735757817691,False,"Good normal: False, Bad normal: False",-0.8298403816093498,-0.08558112393295025
MAP_Min,location,Mann-Whitney U,0.3211614558440684,0.043338951474228726,ns,456,-13.663986175871244,13.7678567905606,-9.368757857546015,68,-15.008305099189432,16.44750337116723,-11.38097138474555,False,"Good normal: False, Bad normal: False",1.3443189233181876,2.0122135271995347
MAP_Max,location,Mann-Whitney U,0.16206020895790707,0.06107960404654389,ns,456,14.890858820715481,14.47442905915715,10.44679063093905,68,16.76022822988406,15.9944065642841,14.57077973678345,False,"Good normal: False, Bad normal: False",-1.8693694091685789,-4.1239891058444
MAP_Mode_Angle,location,Mann-Whitney U,0.28106471733759475,0.04708961798000359,ns,456,-0.3152458872002439,1.622877817477313,-0.0169698192781507,68,0.2621890459540502,2.605461276386155,-0.02989592059412695,False,"Good normal: False, Bad normal: False",-0.5774349331542941,0.012926101315976248
MAP_Positive_Mean,location,Mann-Whitney U,0.04963304515596969,0.08575898965454262,*,456,4.14574443540729,4.431525831260589,2.85397901569526,68,5.718770446286984,7.1883498323060255,3.90178976064228,False,"Good normal: False, Bad normal: False",-1.573026010879694,-1.0478107449470198
MAP_Negative_Mean,location,Mann-Whitney U,0.2730960488354566,0.04787725794621632,ns,456,-3.8981600988745253,4.0401113954524845,-2.5891997628872,68,-5.81552994581055,9.72322222069095,-3.4114043255736552,False,"Good normal: False, Bad normal: False",1.9173698469360243,0.8222045626864554
rSO2_contra_Mean,location,Mann-Whitney U,0.6432232464506802,0.020234850017844766,ns,456,0.000576124940313379,0.013144567246083115,0.000522268349731,68,0.016693534024186156,0.05398247111519673,0.0002383647646032003,False,"Good normal: False, Bad normal: False",-0.016117409083872776,0.0002839035851277997
rSO2_contra_Median,location,Mann-Whitney U,0.9012654494709623,0.005419714230914863,ns,456,-0.006194799173439981,0.07326869637932329,0.0001479409581605,68,-0.002308448735257399,0.04730889550021141,0.00048991131413295,False,"Good normal: False, Bad normal: False",-0.003886350438182582,-0.00034197035597245
rSO2_contra_Q1,location,Mann-Whitney U,0.011028718391839528,0.11103850505621769,*,456,-0.2781556895979212,0.26439928721071343,-0.220367328491626,68,-0.336382433878991,0.2378516937233521,-0.3273953533659375,False,"Good normal: False, Bad normal: False",0.05822674428106983,0.10702802487431151
rSO2_contra_Q3,location,Mann-Whitney U,0.0012400700563555262,0.1410813500317388,**,456,0.2702689213169669,0.2610556596009066,0.208545555430259,68,0.36449850844597725,0.2637351929860018,0.300188619990162,False,"Good normal: False, Bad normal: False",-0.09422958712901036,-0.09164306455990301
rSO2_contra_Min,location,Mann-Whitney U,0.23898617687085455,0.05144040185259333,ns,456,-1.325424132249664,1.113826699779509,-1.044427428179455,68,-1.5143438609019688,1.2960764380402652,-1.15266139446771,False,"Good normal: False, Bad normal: False",0.18891972865230477,0.10823396628825499
rSO2_contra_Max,location,Mann-Whitney U,0.0915046738340264,0.07371936554230567,ns,456,1.36718006646748,1.195551260157466,1.012298431360675,68,1.716109507089051,1.6129082484563497,1.33819500351414,False,"Good normal: False, Bad normal: False",-0.34892944062157105,-0.3258965721534648
rSO2_contra_Mode_Angle,location,Mann-Whitney U,0.22886735560723792,0.052565602038942436,ns,456,-0.0026728153098544935,0.041375359255561614,-0.005570056342707,68,0.015478307119858703,0.07158660875201707,0.0133866130213605,False,"Good normal: False, Bad normal: False",-0.018151122429713198,-0.0189566693640675
rSO2_contra_Positive_Mean,location,Mann-Whitney U,0.003685912928426971,0.12734274638688178,**,452,0.37904861303829435,0.31256760193476063,0.331664220698264,68,0.4820299876210031,0.31837457972131117,0.4873914794220605,False,"Good normal: False, Bad normal: False",-0.10298137458270873,-0.1557272587237965
rSO2_contra_Negative_Mean,location,Mann-Whitney U,0.029180896406463826,0.09564467119443985,*,452,-0.3695961523104502,0.29766431626036083,-0.315852743397671,68,-0.4435796466673172,0.3075192665882408,-0.382694510353335,False,"Good normal: False, Bad normal: False",0.07398349435686702,0.06684176695566402
