Metric,Analysis,Test_Type,p_value,Effect_Size,Significance,Good_MOCA_N,Good_MOCA_Metric_Mean,Good_MOCA_Metric_Std,Bad_MOCA_N,Bad_MOCA_Metric_Mean,Bad_MOCA_Metric_Std,Good_Normal,Bad_Normal
TransferGain_Myogenic,MOCA_to_Metric,Mann-Whitney,0.6765011130172648,0.05526510628960215,ns,49,0.49329195945318066,0.27410676295997355,8,0.43409618311195985,0.16131095968385634,False,True
TransferPhase_Myogenic,MOCA_to_Metric,t-test,0.7298056422559597,0.13237561370113032,ns,49,5.857735242119938,42.3093909414651,8,0.37805412249524295,34.47715088945704,True,True
TransferCoherence_Myogenic,MOCA_to_Metric,Mann-Whitney,0.2809867971898465,0.1427985263592993,ns,49,0.3463172876084542,0.1814096429957737,8,0.37309762227653914,0.11080648694169945,False,True
TransferPhaseLead_Myogenic,MOCA_to_Metric,t-test,0.5723606232675463,0.21658424017496203,ns,49,0.5168589174800354,0.21402581983041438,8,0.4701086956521739,0.22798341611447176,True,True
TransferGainVariability_Myogenic,MOCA_to_Metric,Mann-Whitney,0.17496352595832704,0.17966307078172503,ns,49,0.27763050924942406,0.1812884566924501,8,0.22150495636923662,0.14577681536667086,False,False
TransferPhaseVariability_Myogenic,MOCA_to_Metric,t-test,0.8121412380499391,0.09106368478972718,ns,49,87.52741867417706,26.158302817179,8,90.04309650529771,36.11462021847592,True,True
WaveletCoherence_Myogenic,MOCA_to_Metric,Mann-Whitney,0.2809867971898465,0.1427985263592993,ns,49,0.39030714777387,0.23826170758638335,8,0.48533028184321864,0.2828384179680577,False,True
WaveletPhase_Myogenic,MOCA_to_Metric,t-test,0.8118974418854816,0.0911841812584176,ns,49,-7.622850226286258,30.254628817156544,8,-4.879646316871623,28.888540806149592,True,True
PLV_Myogenic,MOCA_to_Metric,Mann-Whitney,0.9013781110422271,0.016413689656938207,ns,49,0.31249840289387903,0.17696240347815279,8,0.32843381123313375,0.20022966471946374,False,True
PPC_Myogenic,MOCA_to_Metric,Mann-Whitney,0.9013781110422271,0.016413689656938207,ns,49,0.12796850183832503,0.1293117460507218,8,0.14259194380883516,0.15682427804153914,False,True
wPLI_Myogenic,MOCA_to_Metric,t-test,0.6349873494238262,0.18203431724544497,ns,49,0.4594236635411854,0.2525267180464733,8,0.5070786558010677,0.318132647400533,True,True
